十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址,聯絡電話,座標緯度,座標經度
421040011,國立成功大學醫學院附設醫院,臺南市,北區,704,台南市北區勝利路138號,06-2353535,23.00221,120.21923
905320023,台南市立醫院,臺南市,東區,701,台南市東區崇德路670號,06-2609926,22.968535,120.226743
1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,臺南市,麻豆區,721,台南市麻豆區小埤里苓子林20號,06-5702228,23.179874,120.233033
1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,臺南市,東區,701,台南市東區泉北里東門路一段57號,06-2748316,22.989158,120.212807
1141090512,奇美醫療財團法人柳營奇美醫院,臺南市,柳營區,736,台南市柳營區太康里太康201號,06-6226999,23.289269,120.324705
1141310019,奇美醫療財團法人奇美醫院,臺南市,永康區,710,台南市永康區甲頂里中華路901號,06-2812811,23.020606,120.221897
1305370013,臺南市立安南醫院,臺南市,安南區,709,台南市安南區長和路二段66號,06-3553111,23.064232,120.223192
1521031104,郭綜合醫院,臺南市,中西區,700,台南市中西區民生路二段22號,06-2221111,22.9948524,120.1964541
2321010013,台南市東區衛生所,臺南市,東區,701,臺南市東區龍山里林森路1段418號,06-2673613,22.985012,120.222043
2321020019,台南市南區衛生所,臺南市,南區,702,台南市南區南和路6號,06-2618578,22.960677,120.188068
2321030015,台南市中西區衛生所,臺南市,中西區,700,臺南市中西區環河街94號,06-2252405,22.995077,120.192734
2321040011,台南市北區衛生所,臺南市,北區,704,臺南市北區公園里西華街50號,06-2112653,23.000114,120.210875
2321060013,台南市安南區衛生所,臺南市,安南區,709,臺南市安南區仁安路70號2樓,06-2567406,23.050138,120.17611
2321070019,台南市安平區衛生所,臺南市,安平區,708,臺南市安平區平通里育平路310號,06-2996885,22.994348,120.168084
2341010019,台南市新營區衛生所,臺南市,新營區,730,臺南市新營區大宏里三民路72號,06-6355696,23.307447,120.317173
2341020015,台南市鹽水區衛生所,臺南市,鹽水區,737,臺南市鹽水區中境里武廟路1號,06-6521041,23.3202085,120.2631817
2341030011,台南市白河區衛生所,臺南市,白河區,732,台南市白河區永安里國光路5號,06-6852014,23.352034,120.415815
2341040017,台南市麻豆區衛生所,臺南市,麻豆區,721,台南市麻豆區港口里興國路11-1號,06-5722215,23.1826498,120.2462893
2341050013,台南市佳里區衛生所,臺南市,佳里區,722,台南市佳里區進學路159號,06-7224106,23.163823,120.177729
2341060019,台南市新化區衛生所,臺南市,新化區,712,台南市新化區豐榮里健康路143號,06-5906025,23.034398,120.304781
2341070015,台南市善化區衛生所,臺南市,善化區,741,台南市善化區中山路200號,06-5837035,23.132765,120.299922
2341080011,台南市學甲區衛生所,臺南市,學甲區,726,台南市學甲區建國路38號,06-7833359,23.230277,120.181923
2341090017,台南市柳營區衛生所,臺南市,柳營區,736,臺南市柳營區士林里54之5號,06-6220464,23.278625,120.310674
2341100018,台南市後壁區衛生所,臺南市,後壁區,731,台南市後壁區後壁村3號,06-6872624,23.365491,120.362212
2341110014,台南市東山區衛生所,臺南市,東山區,733,台南市東山區東山里236號,06-6802618,23.326329,120.404723
2341120010,台南市下營區衛生所,臺南市,下營區,735,台南市下營區營前村中山路2段137號,06-6892149,23.231536,120.262393
2341130016,台南市六甲區衛生所,臺南市,六甲區,734,台南市六甲區二甲里中華路110號,06-6982013,23.224673,120.346879
2341140012,台南市官田區衛生所,臺南市,官田區,720,台南市官田區隆田里中山路1段128號,06-5791493,23.193068,120.3161
2341150018,臺南市大內區衛生所,臺南市,大內區,742,臺南市大內區大內里2號,06-5761044,23.119268,120.356947
2341160014,台南市西港區衛生所,臺南市,西港區,723,台南市西港區西港村中山路368號,06-7952338,23.123281,120.203262
2341170010,台南市七股區衛生所,臺南市,七股區,724,台南市七股區大埕村379號,06-7872277,23.140159,120.138676
2341180016,台南市將軍區衛生所,臺南市,將軍區,725,臺南市將軍區忠興里185-6號,06-7942007,23.2012869,120.1562373
2341190012,台南市北門區衛生所,臺南市,北門區,727,臺南市北門區永隆里50號,06-7862043,23.2702758,120.1233147
2341200013,台南市新市區衛生所,臺南市,新市區,744,台南市新市區中興街12號,06-5992504,23.079005,120.295069
2341210019,台南市安定區衛生所,臺南市,安定區,745,臺南市安定區安定里59-1號,06-5922022,23.121568,120.237089
2341220015,臺南市山上區衛生所,臺南市,山上區,743,臺南市山上區山上里35之2號,06-5781013,23.098585,120.358174
2341230011,台南市玉井區衛生所,臺南市,玉井區,714,台南市玉井區玉田里中正路5號,06-5742275,23.122351,120.459103
2341240017,臺南市楠西區衛生所,臺南市,楠西區,715,臺南市楠西區中正路226號,06-5751006,23.174409,120.486391
2341250013,台南市南化區衛生所,臺南市,南化區,716,台南市南化區南化里226-1號,06-5771139,23.044402,120.479266
2341260019,台南市左鎮區衛生所,臺南市,左鎮區,713,臺南市左鎮區中正里172之15號,06-5731114,23.056308,120.409946
2341270015,台南市仁德區衛生所,臺南市,仁德區,717,台南市仁德區仁德村中山路606巷2號,06-2704153,22.972779,120.251461
2341280011,台南市歸仁區衛生所,臺南市,歸仁區,711,台南市歸仁區中正北路一段1號,06-2393309,22.967446,120.294344
2341290017,台南市關廟區衛生所,臺南市,關廟區,718,台南市關廟區山西村中正路1000號,06-5952395,22.963029,120.327249
2341300018,台南市龍崎區衛生所,臺南市,龍崎區,719,臺南市龍崎區崎頂里新市子158號,06-5941397,22.965213,120.361824
2341310014,台南市永康區衛生所,臺南市,永康區,710,臺南市永康區永康里文化路51號,06-2326507,23.016518,120.261162
